uID,AdID,BoxID,AE,RE,AA,PI,AccX kurtosis,AccX mean,AccX num_of_peaks,AccX slope,AccX spec_phs_F1oF23,AccX spec_phs_F2oF13,AccX spec_phs_F3oF12,AccX spec_pow_F1oF23,AccX spec_pow_F2oF13,AccX spec_pow_F3oF12,AccX std,AccX total_var,EDA kurtosis,EDA mean,EDA num_of_peaks,EDA slope,EDA spec_phs_F1oF23,EDA spec_phs_F2oF13,EDA spec_phs_F3oF12,EDA spec_pow_F1oF23,EDA spec_pow_F2oF13,EDA spec_pow_F3oF12,EDA std,EDA total_var,HR kurtosis,HR mean,HR num_of_peaks,HR slope,HR spec_phs_F1oF23,HR spec_phs_F2oF13,HR spec_phs_F3oF12,HR spec_pow_F1oF23,HR spec_pow_F2oF13,HR spec_pow_F3oF12,HR std,HR total_var,SC kurtosis,SC mean,SC num_of_peaks,SC slope,SC spec_phs_F1oF23,SC spec_phs_F2oF13,SC spec_phs_F3oF12,SC spec_pow_F1oF23,SC spec_pow_F2oF13,SC spec_pow_F3oF12,SC std,SC total_var,Temp kurtosis,Temp mean,Temp num_of_peaks,Temp slope,Temp spec_phs_F1oF23,Temp spec_phs_F2oF13,Temp spec_phs_F3oF12,Temp spec_pow_F1oF23,Temp spec_pow_F2oF13,Temp spec_pow_F3oF12,Temp std,Temp total_var,diameter kurtosis,diameter mean,diameter num_of_peaks,diameter slope,diameter spec_phs_F1oF23,diameter spec_phs_F2oF13,diameter spec_phs_F3oF12,diameter spec_pow_F1oF23,diameter spec_pow_F2oF13,diameter spec_pow_F3oF12,diameter std,diameter total_var
1,1,1,3.374,1.369,2.832,3.079,-1.244873295,-32.26481691,15,-0.034531543,-37.72622771,-0.012650815,-0.014210732,1.006151682,0.977389539,0.004201625,4.430776246,16.97990944,-1.194408353,1.2424549,2,-0.005695082,-1,0,-1,1,0.999003838,0.000249227,0.398729187,0.384620096,-1.353702011,87.40455394,12,-0.093448222,-68.18850629,-0.006617622,-0.008154745,1.006824907,0.979703087,0.003437604,4.87496402,5.710428875,-1.130875674,1.628857908,0,-0.005665132,-257.1042739,0,-0.003889472,1.000105137,0.998942514,0.000238285,0.353005782,0.40782347,-1.224108515,32.340157,0,0.000258645,-195.6992061,-0.002023688,-0.003098704,1.00000004,0.999999869,2.27E-08,0.869863412,0.024837229,-1.391334678,3.991037575,11,-0.005439188,-2.552751929,-0.172225323,-0.303601607,1.000000007,0.999999969,5.95E-09,0.562326019,6.339579428
2,1,3,2.153,1.793,2.889,2.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.327341585,4.753196745,7,0.005858163,-5.316103431,-0.070455482,-0.134869335,1.000000744,0.999996829,6.07E-07,1.009434269,5.871107711
3,1,3,3.261,1.753,3.055,2.916,-0.968555531,-42.90080414,12,-0.019840445,-57.68888224,-0.006664943,-0.010812298,1.000150894,0.999452654,9.92E-05,1.135541015,1.175769825,-1.262042474,0.44779871,2,-0.000447131,-1,0,-1,1,0.999989296,2.68E-06,0.118938251,0.056031112,-0.425841104,67.72618165,9,-0.002248139,-491.2216091,-0.000799952,-0.001237767,1.000098863,0.995040044,0.001219843,9.825036827,9.089534129,,,,,,,,,,,,,,,,,,,,,,,,,-0.627701006,4.037812386,7,-0.003301917,-2.32798889,-0.210488413,-0.327239238,1.000000047,0.999999804,3.74E-08,0.283797943,3.443903846
4,1,3,1.684,2.021,1,1,-0.349184052,-22.6420158,12,-0.018524431,-39.95789539,-0.011889492,-0.013452741,1.001301069,0.994495808,0.001055903,2.616336633,7.45715509,-1.142674646,2.717406571,4,0.00307836,-1.001351249,0,-0.998650574,1.000000001,0.99841988,0.000395498,0.473106348,1.580627888,-1.021590368,68.66257273,1,-0.010912963,-127.4863678,-0.003209689,-0.00466411,1.001854032,0.988511856,0.002431447,4.375025509,19.36902526,-1.173911752,3.47927385,3,0.003190115,-724.1859872,0,-0.001380861,1.000236434,0.99949498,6.72E-05,0.580944111,1.240432129,-0.802016354,31.94336796,0,0.002241215,-167.5672221,-0.002627744,-0.003357604,1.000003841,0.999987671,2.12E-06,0.916852951,0.134659049,,,,,,,,,,,,
5,1,2,1,1.961,1,1,-1.374276574,-38.30018438,12,0.010163704,-229.0447485,-0.00148436,-0.00289016,1.000008991,0.999969586,5.36E-06,14.79674221,3.099500121,-1.184658675,1.496840645,3,-0.00232112,-1,0,-1,1,0.99958632,0.000103452,0.414828084,0.376543606,-1.241435871,66.91948557,10,-0.072969274,-84.08556473,-0.00425739,-0.007700436,1.093382869,0.74461505,0.053616491,2.748509054,6.629605677,-1.310138132,3.912337354,4,-0.007553633,-244.8984695,0,-0.004083325,1.000788131,0.99592874,0.000823614,0.493569065,1.853242692,-1.316357343,31.51483384,0,0.002322293,-166.1902776,-0.002668139,-0.003366973,1.000009317,0.999970092,5.15E-06,0.461723854,0.153533808,,,,,,,,,,,,
6,1,1,5,1,3.304,3.24,-1.352921272,-32.3331468,12,-0.012489613,238.8588072,0.003646282,0.000536372,1.000458635,0.997998392,0.00038642,8.960207786,19.4954943,-0.974035822,2.875744866,4,-2.17E-05,-1,0,-1,1,0.999999936,1.60E-08,1.124713199,0.009952621,-1.334687964,80.97000927,1,-0.050137748,-60.33999147,-0.008123476,-0.008587648,1.00083956,0.997544182,0.000405072,4.59579721,9.815092816,-1.166528877,4.325318956,4,-0.012352658,-202.8279292,0,-0.004930287,1.000324086,0.997954671,0.000431033,1.472900843,1.87388314,-1.031957352,32.13216747,0,-0.001783115,-56.89823698,-0.007731128,-0.009997332,1.00000418,0.999986605,2.30E-06,0.165306541,0.121161546,-1.576135165,4.806946943,10,0.002020679,-7.187109162,-0.029683691,-0.115853753,1.000000007,0.999999967,6.49E-09,0.834172565,5.986726301
7,1,3,1.986,2.102,2.807,2.482,-1.325382396,-37.79958907,13,-0.007707809,-58.0605683,-0.010237871,-0.007130262,1.000523635,0.998409481,0.000267143,3.530754837,2.027924249,-0.765200963,0.507541806,0,-0.001202687,-1,0,-1,1,0.999938153,1.55E-05,0.197105884,0.082483751,-1.198184493,81.49184568,35,-0.099831321,-72.58041975,-0.005773235,-0.008097439,1.007098383,0.97745238,0.003948388,2.773966503,5.781791584,-1.355059733,2.916268926,2,-0.007440993,-256.3841924,0,-0.003900396,1.000379054,0.997770158,0.000463552,0.577246555,0.840787716,-0.926932464,34.03233905,0,0.002192798,-167.1727023,-0.002640218,-0.003359305,1.0000057,0.999981647,3.16E-06,0.26509821,0.138874276,-1.544953201,4.628937972,11,0.007561256,-5.137266981,-0.077823635,-0.135930405,1.000003915,0.99998324,3.21E-06,1.04789735,9.298876711
8,1,1,1.692,2.102,3.243,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.123509567,4.177036594,1,0.012398512,-770.9388194,0,-0.00129712,1.001447267,0.985259379,0.003362229,0.874763944,3.440025019,-0.803455919,32.23393724,0,-0.000604069,-54.16047105,-0.008412627,-0.010221413,1.000000369,0.999998825,2.01E-07,0.981792651,0.045163357,-1.472208646,4.13036161,9,-0.00535103,-2.269304877,-0.232931778,-0.32622173,1.000000336,0.999998573,2.73E-07,0.921469079,12.00531774
9,1,2,3.291,1.738,2.918,2.833,-1.074677217,-35.24666621,12,0.031776757,-1558.153099,0.001679882,-0.002313896,1.031164818,0.864778086,0.029426333,4.223003351,38.81190161,-1.413954449,1.140861656,4,0.002006012,-1,0,-1,1,0.999629408,9.27E-05,0.575607694,0.517350255,-1.1846238,72.76835107,5,-0.068854755,-78.018911,-0.00539451,-0.00750333,1.007960916,0.972438635,0.005029452,3.03754935,6.57819845,-1.161501876,0.941876653,2,0.005636456,-700.7721632,0,-0.001426997,1.000110718,0.997117912,0.000694366,0.199434944,0.7470462,-1.033582125,32.67296925,0,0.001422783,-163.8928021,-0.002748835,-0.003371192,1.00000175,0.999994333,9.79E-07,0.365722497,0.079617118,,,,,,,,,,,,
10,1,3,2.628,1.82,3.14,2.76,-1.027704705,-43.55843527,163,-4.73E-18,-35.27550753,-0.006436307,-0.022193615,1,1,8.76E-34,5.566557201,1.92E-11,-0.687550176,0.115297733,0,-0.000416757,-1,0,-1,1,0.999992845,1.79E-06,0.039445858,0.026007313,-1.343948202,77.63260687,337,-0.123666231,-60.63641127,-0.008164042,-0.008464773,1.071567768,0.760214495,0.053561778,3.722978542,10.62401291,-1.137864907,1.921291409,2,-0.010158061,-222.9103824,0,-0.004486108,1.000290727,0.996477498,0.000810164,0.301239762,0.596463414,-1.068616622,31.43960181,0,0.000290581,-183.0063262,-0.002258808,-0.003219991,1.000000051,0.999999833,2.90E-08,0.768665895,0.022891227,-1.398020084,3.691623238,9,-0.001786603,-2.239203083,-0.245412422,-0.325119138,1.000002225,0.999990492,1.82E-06,0.5935774,6.024981723
